upazila,month,rainfall_mm,evapotranspiration_mm,rainfall_−_et_mm,dry-season_crop-water_demand_mcm,rain_per_et_ratio,source
Mahadebpur,Jun,259,125,134,,2.072,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Jul,348,114,234,,3.0526315789473686,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Aug,280,116,164,,2.413793103448276,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Sep,279,109,170,,2.5596330275229358,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Oct,109,105,4,,1.0380952380952382,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Nov,11,86,-75,23.7,0.12790697674418605,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Dec,6,69,-63,2.9,0.08695652173913043,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Jan,8,69,-61,2.8,0.11594202898550725,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Feb,9,98,-89,23.4,0.09183673469387756,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Mar,17,134,-117,38.9,0.12686567164179105,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,Apr,57,155,-98,54.3,0.36774193548387096,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Mahadebpur,May,144,149,-5,47.5,0.9664429530201343,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Jun,248,120,128,,2.066666666666667,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Jul,348,112,236,,3.107142857142857,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Aug,251,116,135,,2.163793103448276,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Sep,252,106,146,,2.3773584905660377,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Oct,110,99,11,,1.1111111111111112,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Nov,8,80,-72,13.6,0.1,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Dec,5,61,-56,1.7,0.08196721311475409,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Jan,8,60,-52,1.7,0.13333333333333333,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Feb,7,89,-82,14.4,0.07865168539325842,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Mar,14,124,-110,23.9,0.11290322580645161,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,Apr,56,140,-84,32.8,0.4,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
Sapahar,May,118,139,-21,28.6,0.8489208633093526,"WARPO/IWM PRA Baseline, Tables 2-6 to 2-8"
