upazila,year,month,date,rainfall_mm,NDVI_monthly,EVI_monthly,MODIS_source_status,MODIS_valid_composites,MODIS_total_composites,MODIS_total_valid_pixels,MODIS_empirical_max_pixels_per_composite,MODIS_coverage_proxy
Mahadebpur,2001,1,2001-01,3.7699512567542626,0.32949972618879914,0.18826229408219805,observed,2,2,4859,6556,0.3705765710799268
Mahadebpur,2001,2,2001-02,7.697083511235847,0.31917271777738576,0.1671335315869827,observed,2,2,13112,6556,1.0
Mahadebpur,2001,3,2001-03,18.63582751019924,0.5832193177762477,0.3567231636191126,observed,2,2,13112,6556,1.0
Mahadebpur,2001,4,2001-04,15.755528670063946,0.560789958422637,0.3489902539238562,observed,2,2,13112,6556,1.0
Mahadebpur,2001,5,2001-05,194.2977090207929,0.4041467032867281,0.23872234766941802,observed,2,2,13020,6556,0.9929835265405735
Mahadebpur,2001,6,2001-06,377.5530213714321,0.518853794869086,0.3431119356191515,observed,2,2,268,6556,0.02043929225137279
Mahadebpur,2001,7,2001-07,195.251773361904,0.6179448979591836,0.217995918367347,observed,2,2,49,6556,0.0037370347773032337
Mahadebpur,2001,8,2001-08,205.8634229165637,0.568444873850024,0.346755732367511,observed,2,2,27,6556,0.002059182428309945
Mahadebpur,2001,9,2001-09,347.9856085896661,0.6466235039753969,0.36408559154386133,observed,2,2,9843,6556,0.7506863941427699
Mahadebpur,2001,10,2001-10,319.6724661342146,0.6679921522861215,0.3631370001507714,observed,1,1,6441,6556,0.9824588163514338
Mahadebpur,2001,11,2001-11,13.0237865021856,0.48221810811916266,0.29748350154674535,observed,2,2,12952,6556,0.987797437461867
Mahadebpur,2001,12,2001-12,17.57817477608158,0.362243518983856,0.20406282276315338,observed,2,2,13017,6556,0.9927547284929835
Mahadebpur,2002,1,2002-01,7.141526564360511,0.3570032863804241,0.1928469806135335,observed,2,2,6920,6556,0.5277608297742525
Mahadebpur,2002,2,2002-02,5.568308680960594,0.3687693393268457,0.1984144473554302,observed,2,2,13098,6556,0.9989322757779133
Mahadebpur,2002,3,2002-03,6.639305101364863,0.5945205739090991,0.36719063192284807,observed,2,2,13112,6556,1.0
Mahadebpur,2002,4,2002-04,148.32011339590167,0.5458298467725013,0.34262709788782914,observed,2,2,13053,6556,0.9955003050640635
Mahadebpur,2002,5,2002-05,102.85112227029235,0.4557654121416802,0.263984620127211,observed,2,2,10010,6556,0.7634228187919463
Mahadebpur,2002,6,2002-06,348.9338551475375,0.4186933003093994,0.2673239943197545,observed,2,2,2647,6556,0.20187614399023796
Mahadebpur,2002,7,2002-07,427.97949086586414,0.4739749975808901,0.29673892835475596,observed,2,2,362,6556,0.02760829774252593
Mahadebpur,2002,8,2002-08,310.84432733984244,0.6694613603435716,0.45920641292441583,observed,2,2,5901,6556,0.450045759609518
Mahadebpur,2002,9,2002-09,302.23907123897806,0.695067109996739,0.42981925335490506,observed,2,2,10720,6556,0.8175716900549115
Mahadebpur,2002,10,2002-10,66.11203542444592,0.6310978176293881,0.33728056953138763,observed,1,1,6497,6556,0.9910006101281269
Mahadebpur,2002,11,2002-11,27.94638553430557,0.4885479299422444,0.2755258542535256,observed,2,2,13063,6556,0.9962629652226968
Mahadebpur,2002,12,2002-12,2.0315735885298296,0.3735235598383914,0.21055848137896382,observed,2,2,10900,6556,0.8312995729103112
Mahadebpur,2003,1,2003-01,14.851994851155593,0.37075789640637413,0.2093942694778236,observed,2,2,6668,6556,0.5085417937766931
Mahadebpur,2003,2,2003-02,20.479987326737437,0.3260787642452374,0.16868183469745235,observed,2,2,13112,6556,1.0
Mahadebpur,2003,3,2003-03,80.84580266452356,0.523529781665153,0.32280555868238486,observed,2,2,13112,6556,1.0
